tradeDate,tradeDate,signal5,signal10,signal20,date,open,high,low,close,volume,settle,vwap,updatingTime,asset5,transaction5,pnl5,commission5,turnover5,position5,deposit5,asset10,transaction10,pnl10,commission10,turnover10,position10,deposit10,asset20,transaction20,pnl20,commission20,turnover20,position20,deposit20,return,time,cumulative_return
2010-06-10,2010-06-10,0,0,0,2010-06-10,2776.0,2791.0,2763.0,2769.6,232630.0,2772.0,2773.2078975196664,2018-04-16 13:37:11,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,0.020438170857226844,2010-06-10,804637.6811594203
2010-06-11,2010-06-11,0,0,0,2010-06-11,2788.0,2796.8,2765.0,2765.8,169575.0,2773.0,2781.4525631726374,2018-04-16 13:37:11,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,0.004322766570605188,2010-06-11,808115.9420289855
2010-06-17,2010-06-17,1,1,1,2010-06-17,2779.0,2784.4,2743.0,2744.2,29949.0,2754.4,2769.296918094093,2018-04-16 13:37:11,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,-0.0032281205164992827,2010-06-17,805507.2463768116
2010-06-18,2010-06-18,0,0,0,2010-06-18,2762.4,2779.0,2705.8,2718.2,249981.0,2727.4,2754.049152535593,2018-04-16 13:37:11,915281.5559487378,6101877.039658252,-140.36469449859578,140.36469449862958,7.363014093612138,7.363014093612138,0.15,915281.5559487378,6101877.039658252,-140.36469449859578,140.36469449862958,7.363014093612138,7.363014093612138,0.15,915281.5559487378,6101877.039658252,-140.36469449859578,140.36469449862958,7.363014093612138,7.363014093612138,0.15,-0.0059733717164447316,2010-06-18,800695.6521739131
2010-06-21,2010-06-21,0,0,0,2010-06-21,2749.2,2816.6,2718.0,2804.8,277989.0,2809.2,2768.5460388720417,2018-04-16 13:37:11,885984.3475894446,-6072719.503847547,-29297.208359293174,139.67254858849358,7.363014093612138,0.0,0.15,885984.3475894446,-6072719.503847547,-29297.208359293174,139.67254858849358,7.363014093612138,0.0,0.15,885984.3475894446,-6072719.503847547,-29297.208359293174,139.67254858849358,7.363014093612138,0.0,0.15,-0.0047784535186795075,2010-06-21,796869.5652173912
2010-06-22,2010-06-22,0,0,0,2010-06-22,2795.6,2815.0,2793.2,2797.6,220831.0,2799.6,2801.9075827216293,2018-04-16 13:37:11,885984.3475894446,0.0,0.0,0.0,0.0,0.0,0.15,885984.3475894446,0.0,0.0,0.0,0.0,0.0,0.15,885984.3475894446,0.0,0.0,0.0,0.0,0.0,0.15,0.01687763713080172,2010-06-22,810318.8405797102
2010-06-23,2010-06-23,1,1,1,2010-06-23,2785.0,2801.6,2743.0,2765.2,238316.0,2761.6,2770.9600924822503,2018-04-16 13:37:11,885984.3475894446,0.0,0.0,0.0,0.0,0.0,0.15,885984.3475894446,0.0,0.0,0.0,0.0,0.0,0.15,885984.3475894446,0.0,0.0,0.0,0.0,0.0,0.15,-0.00379167262841605,2010-06-23,807246.3768115941
2010-06-24,2010-06-24,0,0,0,2010-06-24,2771.0,2810.0,2750.0,2771.0,297949.0,2766.8,2773.2721170401646,2018-04-16 13:37:11,885848.4966561475,5905656.6443743175,-135.8509332970716,135.8509332970482,7.104122031004833,7.104122031004833,0.15,885848.4966561475,5905656.6443743175,-135.8509332970716,135.8509332970482,7.104122031004833,7.104122031004833,0.15,885848.4966561475,5905656.6443743175,-135.8509332970716,135.8509332970482,7.104122031004833,7.104122031004833,0.15,-0.005026929982046679,2010-06-24,803188.4057971014
2010-06-25,2010-06-25,1,1,1,2010-06-25,2759.0,2772.8,2736.0,2753.8,249654.0,2752.0,2753.870193147316,2018-04-16 13:37:11,860138.4154630137,-5880081.8050627,-25710.08119313384,135.2418815164421,7.104122031004833,0.0,0.15,860138.4154630137,-5880081.8050627,-25710.08119313384,135.2418815164421,7.104122031004833,0.0,0.15,860138.4154630137,-5880081.8050627,-25710.08119313384,135.2418815164421,7.104122031004833,0.0,0.15,-0.004330566582461205,2010-06-25,799710.1449275363
2010-06-28,2010-06-28,0,0,0,2010-06-28,2751.6,2763.8,2731.4,2741.6,210541.0,2738.2,2747.771395595157,2018-04-16 13:37:11,860006.5275726427,5733376.850484285,-131.88789037102833,131.88789037099545,6.945506675490968,6.945506675490968,0.15,860006.5275726427,5733376.850484285,-131.88789037102833,131.88789037099545,6.945506675490968,6.945506675490968,0.15,860006.5275726427,5733376.850484285,-131.88789037102833,131.88789037099545,6.945506675490968,6.945506675490968,0.15,-0.002682131206959076,2010-06-28,797565.2173913043
2010-06-29,2010-06-29,0,0,0,2010-06-29,2741.6,2746.8,2598.4,2600.4,298585.0,2610.4,2666.091861948859,2018-04-16 13:37:11,839038.6191185693,-5712540.330457812,-20967.90845407336,131.38842760052967,6.94550667549097,0.0,0.15,839038.6191185693,-5712540.330457812,-20967.90845407336,131.38842760052967,6.94550667549097,0.0,0.15,839038.6191185693,-5712540.330457812,-20967.90845407336,131.38842760052967,6.94550667549097,0.0,0.15,-0.0036342491641226924,2010-06-29,794666.6666666666
2010-06-30,2010-06-30,0,0,0,2010-06-30,2580.0,2593.0,2563.0,2579.0,247753.0,2573.2,2577.879849689005,2018-04-16 13:37:11,839038.6191185693,0.0,0.0,0.0,0.0,0.0,0.15,839038.6191185693,0.0,0.0,0.0,0.0,0.0,0.15,839038.6191185693,0.0,0.0,0.0,0.0,0.0,0.15,-0.0589436825211555,2010-06-30,747826.0869565217
